company_id,supplier_team_access_count,supplier_brand_count,supplier_rrp_average,supplier_login_count,supplier_retailer_submissions_count,supplier_shares_count,buyers_popularity_score,buyers_average_time_on_profile_in_seconds,company_state,company_years_trading,upgraded
107,1,1,"1,056.00",12,0,30,0,39,21,0-1,0
108,7,1,12,32,0,78,1,148,32,15+,0
109,1,1,18,101,0,252,11,356,5,3-5,0
110,1,1,86,34,0,84,2,308,32,15+,0
111,1,1,11,4,0,9,0,0,44,15+,0
112,1,1,43,17,0,42,0,442,5,1-2,0
113,1,1,4,27,0,66,0,635,10,3-5,0
114,1,1,26,6,0,15,0,0,22,0-1,0
115,1,1,36,2,0,3,0,158,11,6-10,0
116,1,1,19,106,0,264,1,394,5,1-2,0
117,1,1,11,9,0,21,0,519,46,6-10,0
118,1,1,5,87,0,216,0,49,44,3-5,0
119,2,1,54,21,0,51,0,264,5,0-1,0
120,1,1,3,0,0,0,0,450,49,15+,1
121,2,1,7,144,0,360,25,387,35,3-5,1
122,1,1,6,8,0,18,0,0,16,0-1,0
123,1,1,42,15,0,36,1,491,48,1-2,0
124,1,2,8,44,10,108,4,358,17,15+,1
125,7,1,7,9,0,21,0,31,23,3-5,0
126,1,1,12,72,24,180,2,304,5,1-2,1
127,1,1,36,122,0,303,1,346,23,0-1,0
128,1,1,5,80,0,198,0,429,8,0-1,0
129,1,1,9,10,0,24,1,39,36,3-5,0
130,1,1,54,534,0,1335,1,0,34,0-1,0
131,1,1,263,6,0,15,0,0,32,1-2,0
132,1,1,16,135,90,336,2,481,48,3-5,1
133,1,1,8,12,0,30,0,0,34,0-1,0
134,1,1,58,9,2,21,0,338,5,6-10,1
135,2,1,180,8,0,18,1,442,44,1-2,0
136,2,1,5,76,2,189,1,410,11,0-1,1
137,1,1,65,17,0,42,0,213,42,0-1,0
138,2,1,36,5,0,12,0,83,35,15+,0
139,2,1,4,182,2,453,11,359,28,15+,1
140,1,1,119,16,0,39,0,0,35,15+,0
141,1,1,42,11,0,27,0,0,39,0-1,0
142,1,1,14,4,0,9,0,0,39,6-10,0
143,7,1,18,156,0,390,0,432,32,3-5,0
144,2,1,13,46,0,114,1,479,31,10-15,0
145,1,4,17,46,0,114,3,124,32,10-15,0
146,2,1,15,16,0,39,0,0,11,0-1,0
147,1,1,18,104,0,258,1,287,5,0-1,0
148,1,1,30,3,0,6,1,0,5,3-5,0
149,1,1,34,4,0,9,0,194,5,0-1,0
150,1,1,12,249,20,621,5,389,28,0-1,1
151,1,1,240,20,0,48,0,204,34,0-1,0
152,1,1,5,126,24,315,2,303,48,6-10,1
153,1,8,19,970,50,2424,19,316,35,3-5,1
154,1,1,12,9,0,21,0,0,32,0-1,0
155,1,1,49,100,0,249,2,47,25,10-15,0
156,7,1,8,18,0,45,0,43,38,1-2,0
157,2,1,1,21,0,51,0,0,23,1-2,0
158,1,1,25,24,0,60,0,33,44,0-1,0
159,1,1,97,40,2,99,0,324,35,0-1,1
160,1,1,6,11,0,27,1,22,45,15+,0
161,2,1,41,78,64,195,1,385,17,15+,1
162,1,1,7,8,4,18,1,0,10,10-15,1
163,2,1,3,41,0,102,0,0,10,3-5,0
164,1,1,9,11,0,27,1,297,25,3-5,0
165,7,1,19,11,0,27,1,228,46,3-5,0
166,1,1,3,2,0,3,0,0,7,0-1,0
167,1,1,16,11,0,27,1,357,44,15+,0
168,1,1,36,17,0,42,1,53,23,1-2,0
169,1,1,35,5,0,12,1,0,38,3-5,0
170,1,1,4,4,0,9,0,166,44,10-15,0
171,2,1,46,59,0,147,0,255,5,0-1,0
172,1,1,5,10,0,24,0,356,44,3-5,0
173,2,1,5,11,2,27,0,214,36,15+,1
174,1,1,1,28,0,69,0,0,36,15+,0
175,1,1,214,3,0,6,0,0,15,1-2,0
176,2,1,12,15,0,36,1,233,18,3-5,0
177,2,1,4,11,0,27,0,243,35,0-1,0
178,7,1,51,10,0,24,0,0,5,10-15,0
179,2,1,16,15,0,36,0,357,20,15+,1
180,1,1,48,50,0,123,2,246,39,0-1,0
181,1,1,9,21,0,51,0,149,40,3-5,0
182,1,1,16,10,0,24,0,0,13,3-5,0
183,1,1,6,4,0,9,0,11,44,3-5,0
184,2,1,17,9,0,21,1,0,15,1-2,0
185,2,1,240,3,0,6,0,0,20,0-1,0
186,1,1,21,12,0,30,1,172,10,0-1,0
187,2,1,19,6,0,15,0,138,35,0-1,0
188,1,1,1,5,0,12,0,311,25,15+,0
189,1,1,56,39,0,96,0,34,10,3-5,0
190,1,1,9,3,0,6,0,437,23,6-10,0
191,1,1,13,96,0,240,1,522,43,0-1,0
192,1,1,18,64,0,159,0,337,21,0-1,0
193,2,1,17,219,0,546,2,205,11,15+,1
194,7,1,2,18,0,45,0,540,10,1-2,0
195,1,1,5,614,244,1533,12,359,35,15+,1
196,2,1,16,16,0,39,1,371,10,0-1,0
197,2,1,41,16,0,39,0,0,20,1-2,0
198,1,2,96,38,6,93,1,389,20,0-1,1
199,2,1,30,57,16,141,0,121,46,0-1,1
200,2,1,188,44,10,108,0,509,26,1-2,1
201,1,1,20,568,10,1419,4,465,5,1-2,1
202,7,1,39,26,16,63,0,422,36,6-10,1
203,2,2,120,14,0,33,3,0,24,10-15,0
204,1,1,17,96,0,240,0,375,16,3-5,0
205,1,1,16,3,0,6,1,0,31,6-10,0
206,1,1,12,2,0,3,0,0,44,3-5,0
207,1,1,2,16,0,39,0,388,5,3-5,0
208,1,1,11,6,0,15,0,0,49,1-2,0
209,1,1,7,14,0,33,2,490,10,15+,0
210,1,1,6,16,0,39,0,0,28,15+,0
211,3,1,58,35,2,87,1,368,24,10-15,1
212,1,1,348,3,0,6,0,217,5,10-15,0
213,1,1,39,155,0,387,7,404,15,15+,1
214,1,1,91,3,0,6,0,361,36,15+,1
215,2,1,54,65,0,162,1,498,23,3-5,0
216,7,1,7,21,4,51,2,413,35,0-1,1
217,2,1,42,5,0,12,0,418,16,15+,0
218,1,1,5,12,0,30,0,0,10,0-1,0
219,1,1,36,5,0,12,0,112,35,15+,0
220,1,1,180,4,0,9,0,0,46,3-5,0
221,1,1,35,21,0,51,0,781,35,3-5,0
222,1,1,26,44,0,108,0,323,36,0-1,0
223,1,1,7,371,132,927,13,514,43,6-10,1
224,1,1,60,5,0,12,0,198,32,15+,0
225,1,1,49,50,0,123,1,81,10,10-15,0
226,2,1,6,8,0,18,0,0,44,1-2,0
227,1,2,3,156,56,390,7,359,5,10-15,1
228,1,1,8,298,90,744,6,307,5,3-5,1
229,1,1,23,8,0,18,0,422,32,10-15,0
230,2,1,4,64,0,159,1,36,15,3-5,0
231,7,1,13,243,44,606,9,515,21,6-10,1
232,1,1,8,1086,220,2715,13,218,32,3-5,1
233,1,1,10,36,0,90,11,343,5,6-10,0
234,2,1,21,6,0,15,0,0,28,1-2,0
235,1,1,"2,400.00",3,0,6,0,0,44,1-2,0
236,7,1,14,9,0,21,0,141,10,15+,0
237,1,1,23,356,62,888,29,316,5,3-5,1
238,1,1,38,27,0,66,1,0,10,0-1,0
239,1,1,33,4,0,9,1,0,32,3-5,0
240,1,2,28,18,4,45,0,502,9,0-1,1
241,7,1,20,58,0,144,1,139,5,0-1,0
242,1,1,40,171,64,426,5,411,16,6-10,1
243,7,1,43,87,0,216,1,25,35,0-1,0
244,1,1,48,15,0,36,0,465,32,15+,0
245,1,1,10,5,2,12,0,490,5,3-5,1
246,1,1,23,99,68,246,13,389,44,15+,1
247,1,1,11,20,0,48,1,444,11,6-10,0
248,2,1,76,62,2,153,1,390,10,15+,1
249,1,1,45,123,0,306,3,358,44,3-5,1
250,1,1,10,3,0,6,0,349,15,6-10,0
251,2,1,6,45,0,111,0,806,5,6-10,0
252,7,1,7,350,96,873,6,378,5,10-15,1
253,1,3,4,176,4,438,1,187,24,15+,1
254,1,1,33,38,0,93,0,454,32,10-15,0
255,2,1,42,8,2,18,0,452,5,6-10,1
256,1,1,57,144,0,360,1,0,3,15+,0
257,1,1,120,3,0,6,0,0,32,3-5,0
258,2,1,54,17,0,42,1,253,6,1-2,0
259,2,1,12,15,0,36,0,41,46,3-5,0
260,2,1,10,84,74,210,2,198,39,1-2,1
261,1,3,1,111,0,276,1,333,32,6-10,0
262,2,1,12,29,0,72,0,0,36,0-1,0
263,1,1,18,6,0,15,0,198,23,0-1,0
264,1,1,47,59,114,147,2,311,35,6-10,1
265,1,1,19,10,0,24,0,0,46,0-1,0
266,1,3,9,116,0,288,2,271,5,15+,1
267,2,1,92,72,0,180,0,0,15,0-1,0
268,1,1,10,50,0,123,2,33,44,3-5,0
269,1,1,25,26,0,63,1,82,6,3-5,0
270,1,1,8,17,0,42,0,67,5,0-1,1
271,1,1,56,21,0,51,0,0,5,3-5,0
272,2,1,7,708,100,1770,5,475,35,3-5,1
273,2,1,20,262,90,654,5,442,21,1-2,1
274,2,1,26,8,0,18,0,411,5,0-1,0
275,2,1,22,177,38,441,9,494,5,15+,1
276,1,1,10,64,6,159,1,290,35,6-10,1
277,1,1,27,488,208,1218,7,398,23,3-5,1
278,7,1,7,3,0,6,0,0,39,3-5,0
279,7,1,2,9,0,21,0,437,32,15+,0
280,2,1,5,6,0,15,0,356,44,6-10,0
281,7,1,6,123,0,306,0,473,36,15+,1
282,1,2,11,69,16,171,2,172,27,1-2,1
283,2,2,41,57,0,141,1,569,11,3-5,0
284,1,1,17,123,0,306,0,539,12,3-5,0
285,1,1,16,17,0,42,0,0,32,3-5,0
286,1,1,22,143,2,357,4,531,20,0-1,1
287,7,1,28,16,0,39,2,486,10,0-1,0
288,1,1,54,28,8,69,1,400,6,3-5,1
289,1,1,18,6,0,15,0,261,37,0-1,0
290,1,1,20,33,0,81,4,342,24,10-15,0
291,1,1,12,4,0,9,0,0,24,6-10,0
292,2,1,71,147,0,366,0,423,10,3-5,1
293,2,1,12,33,0,81,0,0,36,15+,0
294,1,1,5,3,0,6,0,0,5,15+,0
295,1,1,6,17,0,42,0,0,15,0-1,0
296,1,1,240,16,0,39,0,0,49,6-10,0
297,1,1,359,124,2,309,1,269,39,3-5,1
298,1,1,5,9,0,21,1,32,35,15+,0
299,2,1,1,128,180,318,4,403,35,1-2,1
300,2,1,25,17,0,42,1,511,11,3-5,0
301,2,1,24,10,0,24,0,0,32,15+,0
302,2,1,8,12,0,30,0,34,5,0-1,0
303,1,1,38,42,60,105,0,335,37,3-5,1
304,1,1,501,6,0,15,0,674,7,3-5,0
305,1,1,17,168,56,420,3,497,18,6-10,1
306,1,1,6,434,74,1083,6,339,44,15+,1
307,1,1,6,486,106,1215,10,266,20,6-10,1
308,1,1,6,194,72,483,2,358,39,1-2,1
309,1,1,10,152,0,378,2,332,10,15+,0
310,1,1,26,8,0,18,0,0,44,0-1,0
311,1,1,0,6,0,15,0,0,5,6-10,0
312,1,1,4,158,134,393,3,275,5,1-2,1
313,1,1,16,24,0,60,0,73,5,0-1,0
314,7,1,11,6,0,15,0,0,44,0-1,0
315,2,2,11,532,70,1329,16,439,5,6-10,1
316,1,1,12,24,0,60,1,158,20,3-5,0
317,1,2,22,63,4,156,13,311,6,1-2,1
318,1,1,7,100,2,249,1,539,35,15+,1
319,1,1,9,14,0,33,1,0,2,0-1,0
320,7,1,27,8,0,18,2,410,16,15+,0
321,3,1,2,5,0,12,0,0,35,15+,0
322,1,4,27,608,116,1518,13,348,5,15+,1
323,1,1,16,4,0,9,0,36,49,6-10,0
324,2,1,49,93,0,231,1,0,5,3-5,0
325,2,1,78,14,0,33,0,372,5,0-1,0
326,1,1,2,10,0,24,0,0,44,0-1,0
327,1,1,12,14,0,33,1,293,38,10-15,0
328,1,1,14,59,0,147,0,39,15,0-1,0
329,1,1,11,654,6,1635,26,398,28,10-15,1
330,7,1,18,27,0,66,0,396,10,0-1,0
331,7,1,6,17,0,42,0,267,36,15+,0
332,1,1,5,23,2,57,2,583,4,15+,1
333,1,1,18,10,0,24,0,0,44,15+,0
334,1,1,36,16,0,39,0,0,5,0-1,0
335,1,2,11,66,122,165,0,576,12,15+,1
336,1,1,9,92,28,228,13,377,5,15+,1
337,7,1,17,22,0,54,1,51,28,0-1,0
338,1,1,18,6,0,15,0,0,28,6-10,0
339,1,1,22,453,166,1131,6,329,32,1-2,1
340,7,1,9,34,0,84,1,501,35,3-5,1
341,2,1,22,62,0,153,1,459,21,0-1,0
342,2,1,7,3,0,6,0,0,35,6-10,0
343,2,1,7,3,0,6,0,0,47,10-15,0
344,1,1,63,3,0,6,0,0,5,1-2,0
345,1,1,75,68,0,168,0,0,19,1-2,0
346,1,1,35,38,0,93,0,91,35,15+,0
347,2,1,14,6,0,15,1,257,23,6-10,0
348,2,1,120,93,2,231,1,412,5,3-5,1
349,2,1,10,934,58,2334,2,348,5,1-2,1
350,2,1,6,452,0,1128,1,327,5,6-10,0
351,1,1,1,3,0,6,0,34,41,15+,0
352,1,1,36,4,0,9,0,585,35,0-1,0
353,1,1,27,12,0,30,0,300,35,1-2,0
354,1,1,19,11,0,27,0,25,10,0-1,0
355,2,1,12,33,0,81,3,385,45,3-5,0
356,7,1,8,16,0,39,1,52,39,3-5,0
357,2,1,0,2,0,3,0,0,19,6-10,0
358,2,1,116,4,0,9,0,364,5,0-1,0
359,1,1,4,42,0,105,1,415,36,6-10,0
360,7,1,5,11,0,27,0,0,25,0-1,0
361,2,2,63,22,0,54,0,317,45,10-15,1
362,2,1,11,86,0,213,1,469,7,15+,0
363,1,1,180,116,28,288,2,246,44,1-2,1
364,2,1,11,4,0,9,0,0,10,3-5,0
365,2,1,7,14,0,33,0,327,27,10-15,0
366,1,1,7,273,108,681,5,449,28,10-15,1
367,1,1,3,15,0,36,0,146,13,15+,0
368,7,1,14,36,0,90,2,0,5,3-5,0
369,1,1,12,6,0,15,0,586,15,1-2,0
370,2,1,18,3,0,6,0,193,12,1-2,0
371,7,1,7,8,0,18,0,0,28,1-2,0
372,1,1,11,8,0,18,1,104,44,3-5,0
373,1,1,7,3,0,6,0,0,35,0-1,0
374,1,1,30,16,0,39,1,159,5,3-5,0
375,1,1,13,102,4,255,1,310,15,0-1,1
376,1,1,9,8,0,18,0,231,23,1-2,0
377,1,1,11,180,124,450,8,292,39,3-5,1
378,1,1,9,52,0,129,1,156,38,3-5,0
379,2,1,64,3,0,6,0,0,38,0-1,0
380,2,1,10,14,0,33,0,97,39,0-1,0
381,1,1,26,6,0,15,1,159,35,15+,0
382,1,1,755,2,0,3,0,0,5,15+,0
383,2,1,2,21,0,51,0,0,24,10-15,1
384,1,1,30,32,0,78,2,0,18,6-10,0
385,1,1,7,42,0,105,3,168,10,3-5,0
386,1,1,419,57,0,141,0,459,48,0-1,0
387,1,1,4,1766,154,4413,5,458,15,1-2,1
388,2,1,12,22,0,54,1,345,35,0-1,0
389,2,3,20,119,34,297,9,269,45,15+,1
390,2,1,7,228,26,570,1,342,5,10-15,1
391,7,1,5,81,0,201,2,223,4,0-1,1
392,1,1,12,9,0,21,0,780,10,3-5,0
393,1,1,8,9,0,21,0,0,33,15+,0
394,2,1,17,33,0,81,0,0,10,1-2,0
395,1,1,21,26,2,63,0,343,5,15+,1
396,2,1,11,184,0,459,1,0,5,1-2,0
397,2,1,26,332,82,828,7,271,5,3-5,1
398,2,1,14,77,0,192,0,207,10,3-5,0
399,2,1,0,12,0,30,0,0,10,6-10,0
400,1,1,14,16,0,39,1,200,5,0-1,0
401,1,1,48,10,0,24,0,0,13,1-2,0
402,1,1,8,6,0,15,0,0,10,3-5,0
403,1,1,1,8,0,18,0,0,41,1-2,0
404,1,1,21,94,14,234,7,427,5,0-1,1
405,1,1,5,3,0,6,1,432,5,3-5,0
406,1,1,36,26,0,63,0,0,4,15+,0
407,7,1,13,2,0,3,0,0,28,15+,0
408,2,2,16,362,64,903,2,286,3,0-1,1
409,1,1,19,22,0,54,0,305,44,0-1,0
410,1,1,5,81,0,201,0,322,13,15+,0
411,1,1,7,11,0,27,0,41,3,15+,0
412,2,1,5,120,48,300,11,329,8,10-15,1
413,2,1,10,11,0,27,0,0,23,6-10,0
414,1,1,17,15,0,36,0,279,38,1-2,0
415,1,1,22,12,0,30,0,21,5,0-1,0
416,2,1,6,18,0,45,0,52,36,6-10,0
417,2,1,40,54,0,135,0,0,39,15+,0
418,2,1,34,30,0,75,0,405,5,15+,1
419,7,1,24,6,0,15,1,503,34,3-5,0
420,1,1,6,16,0,39,0,318,23,15+,0
421,2,1,10,14,0,33,0,19,24,0-1,0
422,1,1,5,156,68,390,7,505,6,6-10,1
423,7,1,20,56,0,138,0,317,12,3-5,0
424,1,1,20,136,156,339,4,225,15,3-5,1
425,7,1,54,10,0,24,0,0,5,15+,0
426,2,1,35,363,110,906,3,401,23,6-10,1
427,7,1,10,123,96,306,1,332,32,1-2,1
428,7,1,10,89,0,222,1,305,5,1-2,0
429,2,1,3,6,0,15,1,251,32,6-10,0
430,1,1,3,8,0,18,0,0,15,6-10,0
431,7,1,17,22,0,54,0,393,11,0-1,0
432,1,1,10,24,0,60,1,48,28,0-1,0
433,1,1,12,40,0,99,1,0,44,0-1,0
434,2,1,2,11,0,27,0,0,11,15+,0
435,7,1,16,178,0,444,2,249,32,1-2,0
436,1,1,12,10,0,24,1,0,5,15+,0
437,1,1,53,4,0,9,0,28,35,1-2,0
438,1,1,852,17,0,42,0,231,24,3-5,0
439,2,1,16,1047,148,2616,5,244,35,6-10,1
440,2,1,25,24,0,60,0,23,32,15+,0
441,1,1,12,15,4,36,0,309,44,15+,1
442,2,1,228,17,0,42,0,0,43,3-5,0
443,1,1,8,14,0,33,0,30,11,0-1,0
444,1,1,24,8,0,18,0,178,9,3-5,0
445,2,1,11,252,2,630,16,376,5,15+,1
446,1,1,15,198,128,495,0,39,10,0-1,1
447,1,1,12,20,0,48,1,317,5,1-2,0
448,2,1,10,47,0,117,0,117,32,3-5,0
449,2,1,18,3,0,6,0,183,19,1-2,0
450,2,1,107,3,0,6,1,44,44,6-10,0
451,1,1,76,418,258,1044,13,409,49,15+,1
452,2,1,17,585,164,1461,5,503,10,1-2,1
453,1,1,20,399,180,996,6,552,5,0-1,1
454,2,1,33,110,0,273,0,306,35,6-10,0
455,2,1,6,3,0,6,0,21,5,0-1,0
456,1,1,1,11,0,27,0,292,10,15+,0
457,1,1,7,28,0,69,1,133,35,10-15,0
458,1,1,25,96,2,240,5,385,44,15+,1
459,2,1,21,6,0,15,0,30,5,3-5,0
460,2,1,17,12,0,30,0,0,24,0-1,0
461,7,1,30,5,0,12,0,0,34,0-1,0
462,1,1,3,12,0,30,1,355,13,15+,0
463,1,1,144,10,0,24,0,0,7,10-15,0
464,2,1,55,35,50,87,2,381,35,6-10,1
465,1,1,19,3,0,6,0,0,11,0-1,0
466,2,1,5,9,0,21,0,0,46,0-1,0
467,1,1,14,149,0,372,1,346,9,1-2,0
468,3,1,21,18,0,45,0,37,5,0-1,0
469,1,1,43,885,128,2211,5,259,9,3-5,1
470,2,1,8,10,2,24,0,398,41,3-5,1
471,1,1,60,88,0,219,0,402,34,0-1,0
472,1,1,"4,800.00",6,0,15,0,0,44,15+,0
473,2,3,8,28,0,69,4,194,4,15+,0
474,2,1,4,74,28,183,1,283,32,6-10,1
475,1,1,7,77,0,192,0,184,43,6-10,0
476,2,1,12,9,0,21,0,24,5,15+,0
477,2,1,59,66,0,165,2,518,5,0-1,0
478,1,1,48,22,0,54,1,0,5,0-1,0
479,1,1,12,3,0,6,0,31,44,1-2,0
480,1,1,5,2,0,3,0,139,10,6-10,0
481,2,1,30,3,0,6,0,336,35,0-1,1
482,1,1,30,5,0,12,0,0,11,3-5,0
483,1,1,120,8,0,18,2,593,44,3-5,0
484,1,1,70,77,0,192,2,403,34,0-1,0
485,1,1,6,6,0,15,0,0,36,15+,0
486,1,1,16,10,0,24,0,0,12,15+,0
487,2,1,17,3,0,6,0,0,44,3-5,0
488,1,1,12,29,0,72,0,0,11,0-1,0
489,1,1,41,15,0,36,0,0,48,15+,0
490,1,1,163,16,0,39,0,0,10,0-1,0
491,2,1,46,35,152,87,0,540,34,1-2,1
492,1,1,5,3,0,6,0,133,28,3-5,0
493,1,1,9,28,0,69,0,0,44,0-1,0
494,2,1,6,2,0,3,0,57,5,3-5,1
495,1,1,24,111,0,276,0,421,5,0-1,1
496,1,1,40,80,0,198,1,0,5,15+,0
497,1,1,43,149,0,372,2,300,4,0-1,0
498,1,1,26,39,0,96,1,27,35,0-1,0
499,1,1,60,6,0,15,0,0,35,0-1,0
500,1,1,35,5,0,12,0,0,12,3-5,0
501,1,1,16,1110,112,2775,3,382,3,0-1,1
502,2,1,24,210,86,525,4,449,5,6-10,1
503,1,1,14,15,0,36,0,130,43,6-10,0
504,2,1,36,2,0,3,0,0,5,15+,0
505,1,1,6,35,0,87,1,197,5,0-1,0
506,1,1,3,18,2,45,0,476,44,3-5,1
507,1,1,30,11,0,27,0,696,5,0-1,0
508,2,1,24,2,0,3,0,127,21,6-10,0
509,1,1,7,4,0,9,0,0,5,15+,0
510,1,1,23,5,0,12,0,0,11,15+,0
511,2,1,117,18,0,45,0,382,32,0-1,1
512,2,4,9,48,24,120,14,160,48,15+,1
513,1,1,49,522,8,1305,0,467,5,15+,1
514,2,1,3,53,8,132,1,401,44,6-10,1
515,2,1,8,52,0,129,0,0,28,0-1,0
516,1,3,3,118,164,294,6,159,15,6-10,1
517,1,1,7,40,0,99,0,205,21,10-15,0
518,1,1,16,5,0,12,2,0,5,0-1,0
519,3,1,30,66,0,165,0,417,35,0-1,0
520,1,1,5,8,0,18,0,33,43,1-2,0
521,2,1,20,9,0,21,0,0,35,0-1,0
522,1,1,6,3,0,6,1,121,28,3-5,0
523,1,1,42,3,0,6,0,0,34,0-1,0
524,1,1,7,233,10,582,3,228,10,3-5,1
525,1,1,6,70,22,174,0,241,15,10-15,1
526,2,1,10,8,0,18,0,268,10,0-1,0
527,1,1,7,8,0,18,0,0,38,15+,0
528,1,1,10,2,0,3,0,0,24,0-1,0
529,2,2,28,18,2,45,0,466,5,3-5,1
530,1,1,21,21,0,51,1,0,39,0-1,0
531,1,1,31,44,0,108,0,0,25,0-1,0
532,1,1,17,15,0,36,0,0,39,0-1,0
